n,d,noise,kind,seed,method,trim,B,stat_obs,cv_0.01,cv_0.02,cv_0.03,cv_0.04,cv_0.05,cv_0.06,cv_0.07,cv_0.08,cv_0.09,cv_0.10,cv_0.11,cv_0.12,cv_0.13,cv_0.14,cv_0.15,cv_0.16,cv_0.17,cv_0.18,cv_0.19,cv_0.20
2000,5,gauss,null_gauss,400005,hsic,0.0,199,-0.0008037718800190799,0.003441648590587995,0.0032435315639954753,0.0030233559579635563,0.0028916968809158386,0.002630872455961262,0.0026024912235157014,0.0025500927356980896,0.0022601154934823882,0.002198234405648481,0.0021776094834589418,0.002065397216186864,0.0020138187242335166,0.001998805445405925,0.0019469883756979872,0.0019090067631262187,0.0017672046574623702,0.0017339131031718562,0.0016590122533358415,0.0015781947337329277,0.0015306578333135151
2000,5,gauss,null_gauss,400006,k1,0.0,49,0.0017964735527674636,0.007800378048024026,0.007800378048024026,0.007360328868012522,0.007360328868012522,0.006492315803416249,0.006492315803416249,0.006268467674520162,0.006268467674520162,0.005737750158544497,0.005737750158544497,0.005698513293044272,0.005698513293044272,0.005416483439501851,0.005416483439501851,0.005384475023988977,0.005384475023988977,0.005360377871289845,0.005360377871289845,0.005318497429938951,0.005318497429938951
2000,5,gauss,null_gauss,400006,k1,0.01,199,0.0018760461092640623,0.008491146056608723,0.00812480957482331,0.008088683004917718,0.00773358652065248,0.007586416680848473,0.0074582063561614564,0.00697891394020389,0.006870548353857364,0.006822704075361119,0.006459729182918816,0.006309510855327716,0.006165853321231429,0.006019455586078637,0.005892394353831376,0.005804193312931805,0.005641692875944848,0.005580614320678023,0.005494455139556265,0.005348617991848492,0.005272084788474407
2000,5,gauss,null_gauss,400006,k1,0.05,49,0.0017268358957698293,0.01080132655529431,0.01080132655529431,0.007321743799802771,0.007321743799802771,0.006265979046531145,0.006265979046531145,0.006240831901920485,0.006240831901920485,0.006149831060267452,0.006149831060267452,0.006059843930031339,0.006059843930031339,0.006049787922391081,0.006049787922391081,0.006048342338873858,0.006048342338873858,0.006046881517387526,0.006046881517387526,0.005878994443805796,0.005878994443805796
2000,5,gauss,null_gauss,400006,k2,0.0,49,0.18361395974925646,0.29779673855164546,0.29779673855164546,0.27414060424424025,0.27414060424424025,0.2624303230451922,0.2624303230451922,0.2617952632999293,0.2617952632999293,0.2606684482132537,0.2606684482132537,0.2525734411579518,0.2525734411579518,0.2525683145384208,0.2525683145384208,0.24668556809718784,0.24668556809718784,0.24208712196533977,0.24208712196533977,0.24183492352596972,0.24183492352596972
2000,5,gauss,null_gauss,400006,k2,0.01,199,0.14145890088368623,0.3197216396341277,0.2377031851924838,0.2170254128699603,0.2097836551644825,0.20303441982479958,0.2000476301712402,0.19237551596211871,0.19049929521146014,0.18784930245630857,0.1835424497533279,0.18259279421397742,0.18089478114889668,0.17896581295713684,0.17565017487356777,0.17132811597539024,0.17089091710432627,0.1669084977365589,0.16624742345995042,0.16483964987818955,0.16452070420712742
2000,5,gauss,null_gauss,400006,k2,0.05,49,0.08144454480753993,0.1626360212088455,0.1626360212088455,0.1603932675319012,0.1603932675319012,0.15986683306244434,0.15986683306244434,0.1505579838823739,0.1505579838823739,0.1466054067290664,0.1466054067290664,0.14200480509591404,0.14200480509591404,0.13646396554042647,0.13646396554042647,0.1314469342419166,0.1314469342419166,0.12552825940254436,0.12552825940254436,0.12258711425112984,0.12258711425112984
2000,5,gauss,null_gauss,400006,hsic,0.0,199,-0.0008510199114504022,0.0034488384045512853,0.003203261805582347,0.0026105985822133804,0.0025070712819331258,0.0024815340404757613,0.0022686559871563324,0.002198698786636514,0.0021448336361489847,0.0020911153195847573,0.002079773154464609,0.002046997505188069,0.002000250940383828,0.0019687442877546774,0.0019330368687637215,0.0018904453182455026,0.0018796711829337095,0.0018023051102423679,0.0017623971533016192,0.0017583502749397115,0.0016842413953806641
2000,5,gauss,null_gauss,400007,k1,0.0,49,0.003728648059077133,0.010411554856569638,0.010411554856569638,0.010059141144652117,0.010059141144652117,0.009128232891117638,0.009128232891117638,0.009076167744054398,0.009076167744054398,0.009011989616897531,0.009011989616897531,0.008895243328234326,0.008895243328234326,0.008650901453314708,0.008650901453314708,0.008504539981926573,0.008504539981926573,0.00830078943019974,0.00830078943019974,0.007948928056860649,0.007948928056860649
2000,5,gauss,null_gauss,400007,k1,0.01,199,0.0038415313921830174,0.012435052824282922,0.010911718624490918,0.01078665336043061,0.010384882202159607,0.009548917937713397,0.009196539665841552,0.009094319595895795,0.008799281340762466,0.008665393168105884,0.008512078082354102,0.008292459649464234,0.00809045169974909,0.008037738941039096,0.008009501881594772,0.007955084707973792,0.00786301920882393,0.007820216347606213,0.007768269104489245,0.007729716226164474,0.007567785996832943
2000,5,gauss,null_gauss,400007,k1,0.05,49,0.004008295197170941,0.009631621768121379,0.009631621768121379,0.00917366732237257,0.00917366732237257,0.008490017038018993,0.008490017038018993,0.008267960498286597,0.008267960498286597,0.008235113464196475,0.008235113464196475,0.00823282708058648,0.00823282708058648,0.00802260439183311,0.00802260439183311,0.007838077746810779,0.007838077746810779,0.007662558966121891,0.007662558966121891,0.007469506920671831,0.007469506920671831
