kind,noise,n,d,b,method,power,n_reps,null_size,advantage,power_hsic
conf_nonlin,gauss,2000,2,0.8,hsic,0.675,200,0.0,0.675,0.675
conf_nonlin,gauss,2000,2,0.8,k1,0.0,200,0.0,0.0,0.675
conf_nonlin,gauss,2000,2,0.8,k2,0.07,200,0.015,0.05500000000000001,0.675
conf_nonlin,gauss,2000,3,0.2,hsic,0.715,200,0.0,0.715,0.715
conf_nonlin,gauss,2000,3,0.2,k1,0.0,200,0.0,0.0,0.715
conf_nonlin,gauss,2000,3,0.2,k2,0.07,200,0.015,0.05500000000000001,0.715
conf_nonlin,gauss,2000,3,0.4,hsic,0.71,200,0.0,0.71,0.71
conf_nonlin,gauss,2000,3,0.4,k1,0.0,200,0.0,0.0,0.71
conf_nonlin,gauss,2000,3,0.4,k2,0.07,200,0.015,0.05500000000000001,0.71
conf_nonlin,gauss,2000,3,0.6,hsic,0.695,200,0.0,0.695,0.695
conf_nonlin,gauss,2000,3,0.6,k1,0.0,200,0.0,0.0,0.695
conf_nonlin,gauss,2000,3,0.6,k2,0.07,200,0.015,0.05500000000000001,0.695
conf_nonlin,gauss,2000,3,0.8,hsic,0.675,200,0.0,0.675,0.675
conf_nonlin,gauss,2000,3,0.8,k1,0.0,200,0.0,0.0,0.675
conf_nonlin,gauss,2000,3,0.8,k2,0.07,200,0.015,0.05500000000000001,0.675
conf_nonlin,gauss,2000,5,0.2,hsic,0.715,200,0.0,0.715,0.715
conf_nonlin,gauss,2000,5,0.2,k1,0.0,200,0.0,0.0,0.715
conf_nonlin,gauss,2000,5,0.2,k2,0.07,200,0.015,0.05500000000000001,0.715
conf_nonlin,gauss,2000,5,0.4,hsic,0.71,200,0.0,0.71,0.71
conf_nonlin,gauss,2000,5,0.4,k1,0.0,200,0.0,0.0,0.71
conf_nonlin,gauss,2000,5,0.4,k2,0.07,200,0.015,0.05500000000000001,0.71
conf_nonlin,gauss,2000,5,0.6,hsic,0.695,200,0.0,0.695,0.695
conf_nonlin,gauss,2000,5,0.6,k1,0.0,200,0.0,0.0,0.695
conf_nonlin,gauss,2000,5,0.6,k2,0.07,200,0.015,0.05500000000000001,0.695
conf_nonlin,gauss,2000,5,0.8,hsic,0.675,200,0.0,0.675,0.675
conf_nonlin,gauss,2000,5,0.8,k1,0.0,200,0.0,0.0,0.675
conf_nonlin,gauss,2000,5,0.8,k2,0.07,200,0.015,0.05500000000000001,0.675
conf_nonlin,gauss,8000,2,0.2,hsic,0.69,200,0.0,0.69,0.69
conf_nonlin,gauss,8000,2,0.2,k1,0.09,200,0.0,0.09,0.69
conf_nonlin,gauss,8000,2,0.2,k2,0.06,200,0.015,0.045,0.69
conf_nonlin,gauss,8000,2,0.4,hsic,0.68,200,0.0,0.68,0.68
conf_nonlin,gauss,8000,2,0.4,k1,0.09,200,0.0,0.09,0.68
