arm,cell,Q,n,rep,method,seconds,peak_bytes
discrete,2-2-5,100,500,13,cf1_lp,0.0038379969992092,66808
discrete,2-2-5,100,500,13,slack_lp,0.0043636980044539,150238
discrete,2-2-5,100,500,14,stats_all,0.016929823999817,155258
discrete,2-2-5,100,500,14,cf1_lp,0.0034144319943152,66808
discrete,2-2-5,100,500,14,slack_lp,0.0045054380025248,150238
discrete,2-2-5,100,500,15,stats_all,0.0171930840006098,155442
discrete,2-2-5,100,500,15,cf1_lp,0.0037682679976569,66808
discrete,2-2-5,100,500,15,slack_lp,0.0046485050042974,150238
discrete,2-2-5,100,500,16,stats_all,0.0154722509978455,155326
discrete,2-2-5,100,500,16,cf1_lp,0.003278024996689,66808
discrete,2-2-5,100,500,16,slack_lp,0.0042677809979068,150238
discrete,2-2-5,100,500,17,stats_all,0.0163525430034496,155190
discrete,2-2-5,100,500,17,cf1_lp,0.0038114159979159,66808
discrete,2-2-5,100,500,17,slack_lp,0.0052134840007056,150238
discrete,2-2-5,100,500,18,stats_all,0.0155799470012425,155180
discrete,2-2-5,100,500,18,cf1_lp,0.0038272809979389,66808
discrete,2-2-5,100,500,18,slack_lp,0.0044058589992346,150238
discrete,2-2-5,100,500,19,stats_all,0.0146475980000104,155134
discrete,2-2-5,100,500,19,cf1_lp,0.0033123299945145,66808
discrete,2-2-5,100,500,19,slack_lp,0.0042529179991106,150238
discrete,2-2-5,100,2000,0,stats_all,0.0159268299976247,155212
discrete,2-2-5,100,2000,0,cf1_lp,0.0042521069990471,66808
discrete,2-2-5,100,2000,0,slack_lp,0.0046738879973418,150238
discrete,2-2-5,100,2000,1,stats_all,0.0146409180015325,155296
discrete,2-2-5,100,2000,1,cf1_lp,0.003842343998258,66808
discrete,2-2-5,100,2000,1,slack_lp,0.0044253169980947,150238
discrete,2-2-5,100,2000,2,stats_all,0.0163386280037229,155250
discrete,2-2-5,100,2000,2,cf1_lp,0.0034236069986945,66808
discrete,2-2-5,100,2000,2,slack_lp,0.0044938469945918,150238
discrete,2-2-5,100,2000,3,stats_all,0.0147324270001263,155168
discrete,2-2-5,100,2000,3,cf1_lp,0.0036485890013864,66808
discrete,2-2-5,100,2000,3,slack_lp,0.0046114380020298,150238
discrete,2-2-5,100,2000,4,stats_all,0.0169957940015592,155212
discrete,2-2-5,100,2000,4,cf1_lp,0.0038528559962287,66808
discrete,2-2-5,100,2000,4,slack_lp,0.0050933840029756,150238
discrete,2-2-5,100,2000,5,stats_all,0.0167379409977002,155256
discrete,2-2-5,100,2000,5,cf1_lp,0.0042272510036127,66808
discrete,2-2-5,100,2000,5,slack_lp,0.004901673994027,150238
discrete,2-2-5,100,2000,6,stats_all,0.0149223830012488,155180
discrete,2-2-5,100,2000,6,cf1_lp,0.0034107480023521,66808
discrete,2-2-5,100,2000,6,slack_lp,0.0042975860051228,150238
discrete,2-2-5,100,2000,7,stats_all,0.016177500001504,155168
discrete,2-2-5,100,2000,7,cf1_lp,0.0038516800050274,66808
discrete,2-2-5,100,2000,7,slack_lp,0.0045451129990397,150238
discrete,2-2-5,100,2000,8,stats_all,0.0173098410014063,155258
discrete,2-2-5,100,2000,8,cf1_lp,0.0035127119990647,66808
