cell,adv_id,tail_env,n,seed,feas_contam,stat,engine,stat_obs
2-2-5,A1_two_null_mixture,none,2000,900017,,gtest,none,2772.588722239781
2-2-5,A1_two_null_mixture,none,2000,900018,,kl_plugin,none,1.3130153587967852e-14
2-2-5,A1_two_null_mixture,none,2000,900018,,kl_split,none,0.003828840053538678
2-2-5,A1_two_null_mixture,none,2000,900018,,kl_crossfit,none,0.0038694180455895342
2-2-5,A1_two_null_mixture,none,2000,900018,,cf1_margin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900018,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900018,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900018,,gtest,none,2705.9700554945084
2-2-5,A1_two_null_mixture,none,2000,900019,,kl_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900019,,kl_split,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900019,,kl_crossfit,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900019,,cf1_margin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900019,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900019,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900019,,gtest,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900020,,kl_plugin,none,3.211445850033708e-14
2-2-5,A1_two_null_mixture,none,2000,900020,,kl_split,none,0.00924832207965583
2-2-5,A1_two_null_mixture,none,2000,900020,,kl_crossfit,none,0.00958354854977783
2-2-5,A1_two_null_mixture,none,2000,900020,,cf1_margin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900020,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900020,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900020,,gtest,none,2617.1054446196504
2-2-5,A1_two_null_mixture,none,2000,900021,,kl_plugin,none,0.0014681284453927634
2-2-5,A1_two_null_mixture,none,2000,900021,,kl_split,none,0.00330284187694355
2-2-5,A1_two_null_mixture,none,2000,900021,,kl_crossfit,none,0.0020482430686577305
2-2-5,A1_two_null_mixture,none,2000,900021,,cf1_margin,none,0.03829656862745101
2-2-5,A1_two_null_mixture,none,2000,900021,,slack_plugin,none,0.07659313725490191
2-2-5,A1_two_null_mixture,none,2000,900021,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900021,,gtest,none,170.15988111520807
2-2-5,A1_two_null_mixture,none,2000,900022,,kl_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900022,,kl_split,none,1.0640020947781832e-05
2-2-5,A1_two_null_mixture,none,2000,900022,,kl_crossfit,none,1.064000834296642e-05
2-2-5,A1_two_null_mixture,none,2000,900022,,cf1_margin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900022,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900022,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900022,,gtest,none,2523.783609964247
2-2-5,A1_two_null_mixture,none,2000,900023,,kl_plugin,none,0.00012361152841970646
2-2-5,A1_two_null_mixture,none,2000,900023,,kl_split,none,0.0048700620567250965
2-2-5,A1_two_null_mixture,none,2000,900023,,kl_crossfit,none,0.00410557084770377
2-2-5,A1_two_null_mixture,none,2000,900023,,cf1_margin,none,0.011117950335105098
2-2-5,A1_two_null_mixture,none,2000,900023,,slack_plugin,none,0.022235900670210196
2-2-5,A1_two_null_mixture,none,2000,900023,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900023,,gtest,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900024,,kl_plugin,none,0.0019018026085667432
2-2-5,A1_two_null_mixture,none,2000,900024,,kl_split,none,0.007485682784965919
2-2-5,A1_two_null_mixture,none,2000,900024,,kl_crossfit,none,0.004212140915754156
2-2-5,A1_two_null_mixture,none,2000,900024,,cf1_margin,none,0.04358506322449274
2-2-5,A1_two_null_mixture,none,2000,900024,,slack_plugin,none,0.08717012644898547
2-2-5,A1_two_null_mixture,none,2000,900024,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900024,,gtest,none,207.35938933261139
2-2-5,A1_two_null_mixture,none,2000,900025,,kl_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900025,,kl_split,none,0.028359911871776722
2-2-5,A1_two_null_mixture,none,2000,900025,,kl_crossfit,none,0.028397901419147435
2-2-5,A1_two_null_mixture,none,2000,900025,,cf1_margin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900025,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900025,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900025,,gtest,none,1612.5761358587788
2-2-5,A1_two_null_mixture,none,2000,900026,,kl_plugin,none,0.0016763211396134646
2-2-5,A1_two_null_mixture,none,2000,900026,,kl_split,none,0.004177078069899042
2-2-5,A1_two_null_mixture,none,2000,900026,,kl_crossfit,none,0.004601618189763265
2-2-5,A1_two_null_mixture,none,2000,900026,,cf1_margin,none,0.04092633843743232
2-2-5,A1_two_null_mixture,none,2000,900026,,slack_plugin,none,0.0818526768748648
2-2-5,A1_two_null_mixture,none,2000,900026,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900026,,gtest,none,1577.254428762399
2-2-5,A1_two_null_mixture,none,2000,900027,,kl_plugin,none,0.002065976086448894
2-2-5,A1_two_null_mixture,none,2000,900027,,kl_split,none,0.0017077921972841782
2-2-5,A1_two_null_mixture,none,2000,900027,,kl_crossfit,none,0.002354747068829972
2-2-5,A1_two_null_mixture,none,2000,900027,,cf1_margin,none,0.04541580844146309
2-2-5,A1_two_null_mixture,none,2000,900027,,slack_plugin,none,0.09083161688292607
2-2-5,A1_two_null_mixture,none,2000,900027,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900027,,gtest,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900028,,kl_plugin,none,0.0004438748776238507
2-2-5,A1_two_null_mixture,none,2000,900028,,kl_split,none,0.005475338953460973
2-2-5,A1_two_null_mixture,none,2000,900028,,kl_crossfit,none,0.00597413209995722
