cell,kind,tail,n,seed,arm,feas_contam,stat,engine,B,stat_obs,cv_0.01,cv_0.02,cv_0.03,cv_0.04,cv_0.05,cv_0.06,cv_0.07,cv_0.08,cv_0.09,cv_0.10,cv_0.11,cv_0.12,cv_0.13,cv_0.14,cv_0.15,cv_0.16,cv_0.17,cv_0.18,cv_0.19,cv_0.20
2-2-4,u_on_x,t3,500,700003,clean,,gtest,crt_cond,99,691.5783599888489,693.1471805599452,693.1471805599452,693.1471805599452,693.1391805386118,693.1391805386118,693.1391805386118,693.1151802186032,693.1151802186032,693.1151802186032,693.0751788318457,693.0751788318457,693.0751788318457,693.0751788318457,693.0751788318457,693.0191750980528,693.0191750980528,693.0191750980528,693.0191750980528,693.0191750980528,692.9471672244781
2-2-4,u_on_x,t3,500,700004,clean,,kl_plugin,para_boot,99,0.0,1.5776853507831172e-16,1.4425827835893756e-16,1.420052705915898e-16,1.332267629550188e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.0802169969325848e-16,9.588289758126352e-17,9.496247254655427e-17,9.090416711695913e-17,8.943463253924872e-17,8.688701931849052e-17,8.562504372926044e-17,8.326672684688674e-17,7.801567200068668e-17,6.275173617446538e-17,5.989361053898871e-17,5.429557857655875e-17,5.270046002967515e-17
2-2-4,u_on_x,t3,500,700004,clean,,kl_split,para_boot,99,0.0,0.07031323897471428,0.05458907920498918,0.05323198981626019,0.05195752119184227,0.04695878203171919,0.041709975214556605,0.037793623586853425,0.034798388842805394,0.03392984440701313,0.033763372275262854,0.027366346597445995,0.024584606312571353,0.02371364668467202,0.022144129408003255,0.021869738085611448,0.01940873794301437,0.019374748707842435,0.019083332332632777,0.018183340142067864,0.01734669796431816
2-2-4,u_on_x,t3,500,700004,clean,,kl_crossfit,para_boot,99,0.0,0.07117373078589266,0.05511459420647102,0.05495391992576876,0.05134086880659426,0.047277642917106816,0.04119193328415041,0.03696584174778125,0.035855465759584315,0.034714437115805644,0.03304172847745162,0.027622553606564848,0.024923284502744766,0.0234540545503198,0.02200372278023552,0.021634375080208643,0.01961413483771598,0.019162699981423628,0.01888286883355575,0.018031527698788526,0.017149737779157667
2-2-4,u_on_x,t3,500,700004,clean,,cf1_margin,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_x,t3,500,700004,clean,,slack_plugin,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_x,t3,500,700004,clean,,gm_battery,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_x,t3,500,700004,clean,,gtest,para_boot,99,382.56702755179583,439.66987940134294,439.66987940134294,436.3384917718372,432.97703641222154,429.5851999835732,422.70908780599086,419.2241416064711,415.70747271728123,415.70747271728123,415.70747271728123,412.15872186586176,412.15872186586176,408.57751944208644,404.96348506393855,404.96348506393855,404.96348506393855,404.96348506393855,404.96348506393855,401.3162271183394,401.3162271183394
2-2-4,u_on_x,t3,500,700004,clean,,kl_plugin,crt_cond,99,0.0,1.1102230246251565e-16,1.0371820361629752e-16,1.0371820361629752e-16,9.641410477007939e-17,9.641410477007939e-17,9.641410477007939e-17,9.641410477007939e-17,9.641410477007939e-17,9.641410477007939e-17,9.641410477007939e-17,9.641410477007939e-17,8.911000592386125e-17,8.911000592386125e-17,8.911000592386125e-17,8.911000592386125e-17,8.911000592386125e-17,8.911000592386125e-17,8.911000592386125e-17,8.326672684688674e-17,8.326672684688674e-17
2-2-4,u_on_x,t3,500,700004,clean,,gm_battery,crt_cond,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_x,t3,500,700004,clean,,gtest,crt_cond,99,382.56702755179583,446.243664280158,436.3384917718372,432.97703641222154,432.97703641222154,432.97703641222154,429.5851999835732,429.5851999835732,419.2241416064711,419.2241416064711,415.70747271728123,415.70747271728123,412.15872186586176,412.15872186586176,412.15872186586176,408.57751944208644,408.57751944208644,404.96348506393855,404.96348506393855,401.3162271183394,401.3162271183394
2-2-4,u_on_x,t3,500,700005,clean,,kl_plugin,para_boot,99,5.2793822150007443e-17,1.6214048489129984e-16,1.580656509635816e-16,1.0874621881294244e-16,1.0719394720518753e-16,1.0395724685126466e-16,1.0140210295171219e-16,9.98693771009844e-17,9.981821689290399e-17,9.763663478973008e-17,9.757304491955058e-17,9.48591510300253e-17,6.128020851857101e-17,5.784573235780604e-17,5.551115123125783e-17,5.5382949958206425e-17,5.524930617828019e-17,5.5128315705525014e-17,5.4613742319898e-17,5.4497248925664077e-17,5.410093722769239e-17
2-2-4,u_on_x,t3,500,700005,clean,,kl_split,para_boot,99,0.0031276542641294064,0.029945905272849266,0.027091584595653695,0.02221829035384737,0.02193778777878773,0.01611259019095937,0.013260730452984787,0.012181653774160722,0.011329960283235574,0.009439360875144659,0.009328567679419003,0.009284161899740156,0.009071746807187323,0.008898053406246054,0.008659827278054026,0.008055672838117214,0.007585300687352997,0.007325366472595615,0.007262109539007487,0.006934732817034987,0.0066921888778533264
2-2-4,u_on_x,t3,500,700005,clean,,kl_crossfit,para_boot,99,0.00313170005893423,0.030159641287951976,0.02698401898976882,0.02225603922070101,0.022044049543015316,0.016108018491673447,0.013219044628773817,0.0122080400709726,0.011341780542087024,0.009456926818443366,0.009365924158368469,0.009309143466194998,0.009057614342889708,0.008909420071686516,0.008654464925002842,0.008074210179186903,0.007567595779351673,0.007369409947928184,0.007279809032293121,0.006932769513408311,0.006714773243040553
2-2-4,u_on_x,t3,500,700005,clean,,cf1_margin,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_x,t3,500,700005,clean,,slack_plugin,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_x,t3,500,700005,clean,,gm_battery,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_x,t3,500,700005,clean,,gtest,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_x,t3,500,700005,clean,,kl_plugin,crt_cond,99,5.2793822150007443e-17,1.3586645406251915e-16,1.0869316325001533e-16,1.0869316325001533e-16,1.0869316325001533e-16,1.0144695236668097e-16,9.834143341668053e-17,5.900486005000832e-17,5.822848031250821e-17,5.822848031250821e-17,5.822848031250821e-17,5.667572083750801e-17,5.667572083750801e-17,5.589934110000789e-17,5.589934110000789e-17,5.460537487084103e-17,5.460537487084103e-17,5.357020188750755e-17,5.357020188750755e-17,5.357020188750755e-17,5.357020188750755e-17
2-2-4,u_on_x,t3,500,700005,clean,,gm_battery,crt_cond,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_x,t3,500,700005,clean,,gtest,crt_cond,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_x,t3,500,700006,clean,,kl_plugin,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_x,t3,500,700006,clean,,kl_split,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_x,t3,500,700006,clean,,kl_crossfit,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
