adv_id,n,d,noise,seed,method,trim,B,stat_obs,cv_0.01,cv_0.02,cv_0.03,cv_0.04,cv_0.05,cv_0.06,cv_0.07,cv_0.08,cv_0.09,cv_0.10,cv_0.11,cv_0.12,cv_0.13,cv_0.14,cv_0.15,cv_0.16,cv_0.17,cv_0.18,cv_0.19,cv_0.20
B4_heavy_curvature,5000,2,t3,900045,k2,0.05,99,0.042530720817987006,0.2926029359762022,0.22554055637172013,0.22224334200130197,0.2156622386527254,0.21532467803927924,0.1993930895100557,0.1898783865847477,0.18056342104542655,0.1801917841151077,0.17106041426859347,0.17034747128561267,0.1632873008648221,0.14893859677490096,0.14575543752660358,0.14188201768656358,0.141552175846012,0.1398278710479925,0.13862882007859445,0.13794390299475273,0.1360340326008475
B4_heavy_curvature,5000,2,t3,900045,hsic,0.0,99,0.002054286964875167,0.006154673344357665,0.0057471761956961916,0.005373353727690092,0.005348379422909926,0.00507718892863692,0.005015715668522717,0.0050005065958098225,0.004923355099969584,0.0048791977288820875,0.0048186529104000415,0.004730353040467493,0.004715328336878448,0.00432847821772768,0.0043075620552459485,0.004211511691286066,0.004158736187704294,0.003953119810888387,0.003927395264981018,0.0039016663216675696,0.0038102339654506436
B4_heavy_curvature,5000,2,t3,900046,k1,0.05,99,0.004304739204860075,0.014777402420777408,0.014182867078039951,0.014058745425788666,0.011909975718992216,0.011709195581258158,0.011573244659956683,0.011223530036340468,0.01120010480554412,0.010793774121285682,0.010365759922177142,0.009992934856688618,0.009947637929685782,0.0099305186974461,0.009592730264203708,0.009538022834707505,0.009465564559716921,0.009454068790157866,0.009318728339866134,0.009292114459065859,0.00885340000499768
B4_heavy_curvature,5000,2,t3,900046,k2,0.05,99,0.14706441453456412,0.3226335864216803,0.27150726887880505,0.22472652772224397,0.20180026969424797,0.19899833020083388,0.1986223308409397,0.19441515483142818,0.19347028701200691,0.19158152145484056,0.18537585891508626,0.18486700692660088,0.18230424311877078,0.17040101005499225,0.17003658696022858,0.1662811361298405,0.16617979405222538,0.16446193004119422,0.16389171440902872,0.15773734834536415,0.1552812136571276
B4_heavy_curvature,5000,2,t3,900046,hsic,0.0,99,0.006341494467965649,0.01310636906546097,0.012100974008266985,0.011292221366900418,0.011202671299102069,0.010456467926533534,0.010261007490873858,0.010196085401788077,0.010123194662649689,0.009897733448290159,0.00988165863922464,0.009858911850847696,0.009430072159210523,0.009163875384282424,0.009047611501067145,0.008961620971985173,0.008942440470438972,0.008890137753089573,0.00874003577425798,0.008339434284098782,0.008333777437721214
B4_heavy_curvature,5000,2,t3,900047,k1,0.05,99,0.007713316569508799,0.013327545930925444,0.011582250939837557,0.010920431353579008,0.010909057466888972,0.01088972671185895,0.010683139420588073,0.010312056760223287,0.010092605013019229,0.009939329568196986,0.009877868381536037,0.009654815740343992,0.009589666111728068,0.0092084212862239,0.009123794436294408,0.009033380770870236,0.008982616013440081,0.008978852567605,0.008682745154664273,0.008564921640278444,0.00854796557160431
B4_heavy_curvature,5000,2,t3,900047,k2,0.05,99,0.2915069398327046,0.2706153995041428,0.26277963239602,0.2186080736739705,0.21169525691331814,0.18577453751051934,0.17928596378867834,0.1723869521566623,0.16916393060191864,0.16398296550006805,0.16219870707423903,0.16164474849379348,0.15925133256538626,0.15732517598461623,0.1570547585916979,0.15465906384168263,0.1546003974377157,0.15420288591797462,0.15265449712593085,0.15033368184338783,0.14689278997733726
B4_heavy_curvature,5000,2,t3,900047,hsic,0.0,99,0.0009928958915313994,0.005140167346209537,0.004570431361304844,0.004122388075840717,0.0038902631453411325,0.0037064940379603,0.003580762206194423,0.0035679794037284805,0.0033667998181415135,0.003359043134940964,0.0033510679692718556,0.0033157528796394628,0.003314468114671003,0.0032034045492636957,0.0031557817178828216,0.0030346112726551263,0.0029674657922351562,0.0029395956222984325,0.0028849538136799446,0.0028842950901268906,0.0028597712131617735
B4_heavy_curvature,5000,2,t3,900048,k1,0.05,99,0.0061517290433503735,0.014656664297573951,0.012960398093851966,0.01277202280533729,0.01246029889500544,0.012349783279844817,0.01211492844037565,0.011980348729237034,0.011753043494733051,0.011569292084779415,0.011273900584985896,0.011247450577155704,0.010842373855035947,0.010770268208811995,0.010506484618587053,0.010493422815212372,0.010424920437545726,0.010231830740775383,0.010108358642078819,0.009980025777459267,0.0098210071823982
B4_heavy_curvature,5000,2,t3,900048,k2,0.05,99,0.06112599858855305,0.3226225946625585,0.2328626245077656,0.22302367699139797,0.21951977990501456,0.20869955553392408,0.20687540715015715,0.18000527547323958,0.16765274952239648,0.16044021222904037,0.15995284679910649,0.15220936554213738,0.15185774277992778,0.146216970110379,0.1415838852971451,0.14133910475121514,0.13700072048161463,0.13446227804300093,0.1338446765189172,0.1331108513531068,0.12913932116097496
