cell,adv_id,tail_env,n,seed,feas_contam,stat,engine,stat_obs
2-2-4,A3_bursty_u_on_y,t3,2000,900014,,kl_split,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900014,,kl_crossfit,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900014,,cf1_margin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900014,,slack_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900014,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900014,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900015,,kl_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900015,,kl_split,none,0.006975799597401876
2-2-4,A3_bursty_u_on_y,t3,2000,900015,,kl_crossfit,none,0.006971672926507522
2-2-4,A3_bursty_u_on_y,t3,2000,900015,,cf1_margin,none,1.0
2-2-4,A3_bursty_u_on_y,t3,2000,900015,,slack_plugin,none,1.0
2-2-4,A3_bursty_u_on_y,t3,2000,900015,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900015,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900016,,kl_plugin,none,8.881784197001252e-17
2-2-4,A3_bursty_u_on_y,t3,2000,900016,,kl_split,none,0.09489053090027876
2-2-4,A3_bursty_u_on_y,t3,2000,900016,,kl_crossfit,none,0.09818694494964543
2-2-4,A3_bursty_u_on_y,t3,2000,900016,,cf1_margin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900016,,slack_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900016,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900016,,gtest,none,102.82174785538837
2-2-4,A3_bursty_u_on_y,t3,2000,900017,,kl_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900017,,kl_split,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900017,,kl_crossfit,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900017,,cf1_margin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900017,,slack_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900017,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900017,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900018,,kl_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900018,,kl_split,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900018,,kl_crossfit,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900018,,cf1_margin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900018,,slack_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900018,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900018,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900019,,kl_plugin,none,0.00012487612904755075
2-2-4,A3_bursty_u_on_y,t3,2000,900019,,kl_split,none,0.022984718515960734
2-2-4,A3_bursty_u_on_y,t3,2000,900019,,kl_crossfit,none,0.024663128770742088
